State,Name,Title
AK,Michael Wenstrup,State Chair
AK,Jessica Cook,State Vice Chair
AK,Charles Degnan,State-Elected DNC Member
AK,Brenda Knapp,State-Elected DNC Member
AL,Randy Kelley,State Chair
AL,Tabitha Isner,State Vice Chair
AL,Joe Reed,State-Elected DNC Member
AL,Donna Foster,State-Elected DNC Member
AL,Charlie Staten,State-Elected DNC Member
AR,Lottie Shackelford,At-Large
AR,Grant Tennille,State Chair
AR,Jannie Cotton,State Vice Chair
AR,Johnnie Roebuck,State-Elected DNC Member
AR,Dana Deree,State-Elected DNC Member
AS,Patrick Reid,State Chair
AS,Samalaulu Galea'i,State Vice Chair
AS,Alex Briski,State-Elected DNC Member
AS,Aioletuna Sunia,State-Elected DNC Member
AZ,Marisol Garcia,At-Large
AZ,Clara Pratte,At-Large
AZ,Kate Gallego,DMA
AZ,Yolanda Bejarano,State Chair
AZ,Paul Eckerstrom,State Vice Chair
AZ,Luis Heredia,State-Elected DNC Member
AZ,Mark Robert Gordon,State-Elected DNC Member
AZ,Debbie Nez-Manuel,State-Elected DNC Member
CA,Kristin Bertolina Faust,At-Large
CA,Robert Garcia,At-Large
CA,Janni Lehrer-Stein,At-Large
CA,Alicia Rockmore,At-Large
CA,Hilda Solis,At-Large
CA,Sunjay Muralitharan,College Democrats of America
CA,Hannah Cho,High School Dems. of America
CA,Rusty Hicks,State Chair
CA,Betty Yee,State Vice Chair
CA,Carolyn Fowler,State-Elected DNC Member
CA,David Atkins,State-Elected DNC Member
CA,Ada Briceño,State-Elected DNC Member
CA,Deborah Cunningham-Skurnik,State-Elected DNC Member
CA,Derek Devermont,State-Elected DNC Member
CA,Michael Kapp,State-Elected DNC Member
CA,Harini Krishnan,State-Elected DNC Member
CA,Andrew Lachman,State-Elected DNC Member
CA,Barbara Lee,State-Elected DNC Member
CA,Otto Lee,State-Elected DNC Member
CA,Sandra Lowe,State-Elected DNC Member
CA,Jason Park,State-Elected DNC Member
CA,Christine Pelosi,State-Elected DNC Member
CA,Rhodesia Ransom,State-Elected DNC Member
CA,Joseph Salas,State-Elected DNC Member
CA,Garry Shay,State-Elected DNC Member
CA,Analisa Swan,State-Elected DNC Member
CA,Keith Umemoto,State-Elected DNC Member
CA,Maxine Waters,State-Elected DNC Member
CA,Laurence Zakson,State-Elected DNC Member
CO,Jena Griswold,Dem Assn of Secretaries of State
CO,Shad Murib,State Chair
CO,Indira Duggirala,State Vice Chair
CO,Stephanie Beal,State-Elected DNC Member
CO,Howard Chou,State-Elected DNC Member
CO,Crisanta Duran,State-Elected DNC Member
CO,James Reyes,State-Elected DNC Member
CT,Joanne Sullivan,Natl. Fed. of Dem. Women
CT,Robert Alves,State Chair
CT,Adrian Ace Billings Smith,State Vice Chair
CT,Martha Carlson,State-Elected DNC Member
CT,John Olsen,State-Elected DNC Member
DA,Martha McDevitt-Pugh,State Chair
DA,Steven Nardi,State Vice Chair
DA,Susan Alksnis,State-Elected DNC Member
DA,Kenton Barnes,State-Elected DNC Member
DA,Julia Bryan,State-Elected DNC Member
DA,Alan Cheilek,State-Elected DNC Member
DA,Cory Lemke,State-Elected DNC Member
DA,Art Schankler,State-Elected DNC Member
DC,Donna Brazile,At-Large
DC,Maria Cardona,At-Large
DC,Mo Elleithee,At-Large
DC,Frank Leone,At-Large
DC,Minyon Moore,At-Large
DC,Lee Saunders,At-Large
DC,Kenny Thompson,At-Large
DC,Tonya Williams,At-Large
DC,Earl Fowlkes,At-Large
DC,Harold Ickes,At-Large
DC,Claire Lucas,At-Large
DC,Jamie Lyons,At-Large
DC,Becky Pringle,At-Large
DC,Brian Renfroe,At-Large
DC,Faiz Shakir,At-Large
DC,Edward Smith,At-Large
DC,Patrice Taylor,At-Large
DC,April Verrett,At-Large
DC,Anita Bonds,Dem. Municipal Officials
DC,James Zogby,Natl. Dem. Ethnic Coord. Council
DC,Steve Regenstreif,Natl. Dem. Seniors Coord. Council
DC,Charles Wilson,State Chair
DC,Linda Gray,State Vice Chair
DC,Kevin Chavous,State-Elected DNC Member
DC,Denise Reed,State-Elected DNC Member
DE,Brian McGlinchey,At-Large
DE,Antoine Allen,At-Large
DE,Molly Magarik,At-Large
DE,Sarah McBride,At-Large
DE,Bonnie Wu,At-Large
DE,Kathy Jennings,Dem Attorneys General Assn
DE,Elizabeth Maron,State Chair
DE,Coby Owens,State Vice Chair
DE,Sean Finnigan,State-Elected DNC Member
DE,Kerri Harris,State-Elected DNC Member
DNC,Jaime Harrison,Chair
DNC,Chris Korge,Finance Chair
