entity_type,name,role,organization,jurisdiction,us_tie_type,us_counterparty_or_vehicle,evidence_status,confidence,source,notes
person,Shy Rozensweig,Mayor / board member,Yesha Council / Alfe Menashe,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Yair Chetbon,Mayor / board member,Yesha Council / Ariel,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Sharon Alfasi,Mayor / board member,Yesha Council / Beit Aryeh,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Meir Rubenstein,Mayor / board member,Yesha Council / Beitar Illit,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Shai Alon,Mayor / board member,Yesha Council / Beit El,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Yisrael Ganz,Chairman; mayor / board member,Yesha Council / Binyamin,Israel,"Documented Washington meetings, advocacy, and U.S. political visits",Mike Johnson; Mike Lee; U.S. delegations; AFJS at organization level,verified-direct,0.98,https://myesha.org.il/?CategoryID=430,Reuters documented Washington engagement; person is also chairman of the Yesha Council.
person,Dovi Shefler,Mayor / board member,Yesha Council / Efrat,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Asaf Mintzer,Mayor / board member,Yesha Council / Elkana,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Rabbi Eliyahu Gafni,Mayor / board member,Yesha Council / Emmanuel,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Yosef Asraf,Mayor / board member,Yesha Council / Givat Ze'ev,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
