category,source_entity,target_entity,period,value_or_status,mechanism,evidence_status,causal_boundary,source
WEF institutional link,World Economic Forum,Palantir Technologies,2023,listed partner,meeting partnership,direct official record,does not establish WEF control of Palantir,https://www.weforum.org/meetings/annual-meeting-of-the-new-champions-2023/partners/
WEF institutional link,World Economic Forum,Palantir Technologies,2026,listed partner,Annual Meeting partnership,direct official record,does not establish contract or policy direction,https://www.weforum.org/meetings/world-economic-forum-annual-meeting-2026/partners/
WEF institutional link,World Economic Forum,Palantir Technologies,2026,listed partner,New Champions partnership,direct official record,does not establish contract or policy direction,https://www.weforum.org/meetings/annual-meeting-of-the-new-champions-2026/partners/
WEF person link,World Economic Forum,Alex Karp,2023 and 2026,featured participant,speaker and executive conversation,direct official record,participation is not governance or operational control,https://www.weforum.org/videos/davos-am23-a-conversation-with-alex-karp-ceo-of-palantir-english/
WEF person link,World Economic Forum,Benjamin Netanyahu,2014 to 2020,repeated participant,special address and virtual sessions,direct official record,does not establish WEF direction of Israeli policy,https://www.weforum.org/stories/2020/10/the-great-reset-harnessing-the-fourth-industrial-revolution/
Davos ecosystem,Palantir Technologies,Israel-focused technology audience,2024,Palantir-hosted discussion,private Davos event,reputable reporting,not established as an official WEF session,https://www.bloomberg.com/news/articles/2024-01-18/davos-2024-palantir-hosted-israel-talk-draws-jassy-benioff-dell
Corporate revenue,Government customers,Palantir Technologies,FY2025,$2402287000,government-segment revenue,direct SEC filing,not all government revenue is U.S. or defense revenue,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm
Corporate revenue,U.S. government customers,Palantir Technologies,FY2025,$1900000000,U.S. government revenue,direct SEC filing,not earmarked to Israel or settlements,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm
Defense award,U.S. Army,Palantir USG,2024,$480000000,Maven Smart System prototype contract,direct DoD notice,contract ceiling and orders are not the same as paid amount,https://www.defense.gov/News/Contracts/Contract/Article/3790490/
Defense award,U.S. Army,Palantir USG,2025,$795000000,Maven contract modification,direct DoD notice,do not add blindly to prior ceiling or infer Israel use,https://www.defense.gov/News/Contracts/Contract/Article/4194643/
Defense relationship,Palantir Technologies,Israeli Defense Ministry,2024,amount undisclosed,strategic technology partnership,direct SEC disclosure,product scope and contract value unresolved,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000071/pltr-20240331.htm
Political finance,Employees of Palantir Technologies Inc. PAC,U.S. political committees,2025-01-01 to 2026-05-31,$81500,contributions to other committees,direct FEC summary,recipient-level policy effects unresolved,https://www.fec.gov/data/committee/C00498691/
Political finance,AIPAC PAC,U.S. federal elections,2025-01-01 to 2026-05-31,$42208563.07,total disbursements,direct FEC summary,total includes multiple spending categories and does not prove candidate control,https://www.fec.gov/data/committee/C00797670/
Political finance,United Democracy Project,U.S. federal candidates,2025-01-01 to 2026-05-31,$12649893.29,independent expenditures,direct FEC summary,independent spending is not money given to candidate campaigns,https://www.fec.gov/data/committee/C00799031/
Political finance,United Democracy Project,Other political committees,2025-01-01 to 2026-05-31,$7081200,committee contributions,direct FEC summary,recipient-level reconciliation required,https://www.fec.gov/data/committee/C00799031/
Race intervention,AIPAC and affiliated groups,Haley Stevens,2026 Michigan Democratic Senate primary,approximately $30000000,outside spending supporting Stevens,Associated Press reporting,does not attribute every pro-Stevens outside dollar to AIPAC or prove control,https://www.ap.org/news-highlights/elections/2026/aipac-has-spent-a-record-amount-on-michigans-senate-primary-the-biggest-test-of-its-influence-yet/
Search result,Official WEF domain,Yesha Council; Amana; Regavim; Nachala; Hashomer Yosh; Daniella Weiss; Yisrael Ganz,reviewed 2026-07-31,no direct result found,official-domain query set,explicit unresolved result,absence from reviewed queries is not proof of no historical link,https://www.weforum.org/
