relation_id,subject,predicate,object,confidence,title
starintel:relation:c00303024-connected-to-company,starintel:org:lockheed-martin-employees-pac,connected_committee_of,starintel:org:lockheed-martin,1.0,Lockheed Martin Corporation Employees' Political Action Committee is connected to its sponsoring company
starintel:relation:michael-mcbride-treasurer-c00303024,starintel:person:michael-mcbride,serves_as_treasurer_of,starintel:org:lockheed-martin-employees-pac,1.0,Michael McBride is treasurer of Lockheed Martin Corporation Employees' Political Action Committee
starintel:relation:c00303024-registered-fec,starintel:org:lockheed-martin-employees-pac,registered_with,starintel:org:federal-election-commission,1.0,Lockheed Martin Corporation Employees' Political Action Committee is registered with the FEC
starintel:relation:c00097568-connected-to-company,starintel:org:rtx-employees-pac,connected_committee_of,starintel:org:rtx,1.0,Employees of RTX Corporation Political Action Committee is connected to its sponsoring company
starintel:relation:tim-prince-treasurer-c00097568,starintel:person:tim-prince,serves_as_treasurer_of,starintel:org:rtx-employees-pac,1.0,Tim Prince is treasurer of Employees of RTX Corporation Political Action Committee
starintel:relation:c00097568-registered-fec,starintel:org:rtx-employees-pac,registered_with,starintel:org:federal-election-commission,1.0,Employees of RTX Corporation Political Action Committee is registered with the FEC
starintel:relation:c00142711-connected-to-company,starintel:org:boeing-company-pac,connected_committee_of,starintel:org:boeing,1.0,The Boeing Company PAC is connected to its sponsoring company
starintel:relation:howard-goodloe-sutton-treasurer-c00142711,starintel:person:howard-goodloe-sutton,serves_as_treasurer_of,starintel:org:boeing-company-pac,1.0,Howard Goodloe Sutton is treasurer of The Boeing Company PAC
starintel:relation:c00142711-registered-fec,starintel:org:boeing-company-pac,registered_with,starintel:org:federal-election-commission,1.0,The Boeing Company PAC is registered with the FEC
starintel:relation:c00078451-connected-to-company,starintel:org:general-dynamics-employee-pac,connected_committee_of,starintel:org:general-dynamics,1.0,General Dynamics Employee PAC is connected to its sponsoring company
starintel:relation:pete-eckerson-treasurer-c00078451,starintel:person:pete-eckerson,serves_as_treasurer_of,starintel:org:general-dynamics-employee-pac,1.0,Pete Eckerson is treasurer of General Dynamics Employee PAC
starintel:relation:c00078451-registered-fec,starintel:org:general-dynamics-employee-pac,registered_with,starintel:org:federal-election-commission,1.0,General Dynamics Employee PAC is registered with the FEC
starintel:relation:c00088591-connected-to-company,starintel:org:northrop-grumman-employees-pac,connected_committee_of,starintel:org:northrop-grumman,1.0,Employees of Northrop Grumman Corporation PAC is connected to its sponsoring company
starintel:relation:joel-elliott-treasurer-c00088591,starintel:person:joel-elliott,serves_as_treasurer_of,starintel:org:northrop-grumman-employees-pac,1.0,Joel Elliott is treasurer of Employees of Northrop Grumman Corporation PAC
starintel:relation:c00088591-registered-fec,starintel:org:northrop-grumman-employees-pac,registered_with,starintel:org:federal-election-commission,1.0,Employees of Northrop Grumman Corporation PAC is registered with the FEC
starintel:relation:lockheed-nominating-corporate-governance-committee-part-of-company,starintel:org:lockheed-nominating-corporate-governance-committee,part_of,starintel:org:lockheed-martin,0.98,Lockheed Martin Nominating and Corporate Governance Committee is a board committee of Lockheed Martin
starintel:relation:lockheed-nominating-corporate-governance-committee-oversees-pac,starintel:org:lockheed-nominating-corporate-governance-committee,oversees_political_spending_and_pac,starintel:org:lockheed-martin-employees-pac,0.96,Lockheed Martin Nominating and Corporate Governance Committee oversees the corporate PAC
